Science Degree,2012,Subdomain
Agricultural Sciences,1144,Agricultural Sciences
Biological Sciences,7817,Biological Sciences
Computer Sciences,1690,Computer Sciences
Atmospheric Sciences,125,Earth/Atmospheric/Ocean Sciences
Earth Sciences,497,Earth/Atmospheric/Ocean Sciences
Ocean Sciences,115,Earth/Atmospheric/Ocean Sciences
Mathematics & Statistics,1670,Mathematics & Statistics
Astronomy,170,Physical Sciences
Chemistry,2630,Physical Sciences
Physics,1752,Physical Sciences
Psychology,3868,Psychology
Anthropology,585,Social Sciences
Area & Ethnic Studies,274,Social Sciences
Economics,1271,Social Sciences
History of Science,24,Social Sciences
Linguistics,249,Social Sciences
Political Science & Public Administration,1402,Social Sciences
Sociology,635,Social Sciences
